"filename", "language", "YAML", "XML", "JSON", "Markdown", "C#", "comment", "blank", "total"
"d:\Hexalith\Hexalith\.github\workflows\preview_ci.yml", "YAML", 45, 0, 0, 0, 0, 0, 0, 45
"d:\Hexalith\Hexalith\.github\workflows\release_ci.yml", "YAML", 46, 0, 0, 0, 0, 0, 0, 46
"d:\Hexalith\Hexalith\.github\workflows\semgrep.yml", "YAML", 22, 0, 0, 0, 0, 0, 1, 23
"d:\Hexalith\Hexalith\.github\workflows\sonarqube.yml", "YAML", 48, 0, 0, 0, 0, 0, 1, 49
"d:\Hexalith\Hexalith\.readthedocs.yaml", "YAML", 12, 0, 0, 0, 0, 7, 6, 25
"d:\Hexalith\Hexalith\.stylecop.json", "JSON", 0, 0, 18, 0, 0, 5, 1, 24
"d:\Hexalith\Hexalith\CODE-OF-CONDUCT.md", "Markdown", 0, 0, 0, 3, 0, 0, 1, 4
"d:\Hexalith\Hexalith\Directory.Build.props", "XML", 0, 37, 0, 0, 0, 0, 1, 38
"d:\Hexalith\Hexalith\README.md", "Markdown", 0, 0, 0, 45, 0, 0, 24, 69
"d:\Hexalith\Hexalith\docs\Hexalith.Docs.csproj", "XML", 0, 9, 0, 0, 0, 0, 1, 10
"d:\Hexalith\Hexalith\docs\getting-started\create-application.md", "Markdown", 0, 0, 0, 26, 0, 0, 17, 43
"d:\Hexalith\Hexalith\docs\getting-started\preview-package-source.md", "Markdown", 0, 0, 0, 17, 0, 0, 9, 26
"d:\Hexalith\Hexalith\docs\index.md", "Markdown", 0, 0, 0, 4, 0, 0, 4, 8
"d:\Hexalith\Hexalith\environment.yaml", "YAML", 8, 0, 0, 0, 0, 0, 1, 9
"d:\Hexalith\Hexalith\mkdocs.yml", "YAML", 10, 0, 0, 0, 0, 0, 2, 12
"d:\Hexalith\Hexalith\src\Core\Application\Hexalith.Application.Abstractions\Aggregates\IAggregateStateManager.cs", "C#", 0, 0, 0, 0, 11, 35, 8, 54
"d:\Hexalith\Hexalith\src\Core\Application\Hexalith.Application.Abstractions\Commands\BaseCommand.cs", "C#", 0, 0, 0, 0, 7, 12, 5, 24
"d:\Hexalith\Hexalith\src\Core\Application\Hexalith.Application.Abstractions\Commands\CommandHandler.cs", "C#", 0, 0, 0, 0, 25, 21, 9, 55
"d:\Hexalith\Hexalith\src\Core\Application\Hexalith.Application.Abstractions\Commands\ICommand.cs", "C#", 0, 0, 0, 0, 5, 8, 3, 16
"d:\Hexalith\Hexalith\src\Core\Application\Hexalith.Application.Abstractions\Commands\ICommandDispatcher.cs", "C#", 0, 0, 0, 0, 7, 20, 5, 32
"d:\Hexalith\Hexalith\src\Core\Application\Hexalith.Application.Abstractions\Commands\ICommandEnvelope.cs", "C#", 0, 0, 0, 0, 13, 21, 5, 39
"d:\Hexalith\Hexalith\src\Core\Application\Hexalith.Application.Abstractions\Commands\ICommandHandler.cs", "C#", 0, 0, 0, 0, 16, 35, 8, 59
"d:\Hexalith\Hexalith\src\Core\Application\Hexalith.Application.Abstractions\Commands\ICommandProcessor.cs", "C#", 0, 0, 0, 0, 8, 15, 5, 28
"d:\Hexalith\Hexalith\src\Core\Application\Hexalith.Application.Abstractions\Commands\ICommandSaga.cs", "C#", 0, 0, 0, 0, 4, 8, 2, 14
"d:\Hexalith\Hexalith\src\Core\Application\Hexalith.Application.Abstractions\Envelopes\BaseEnvelope.cs", "C#", 0, 0, 0, 0, 23, 17, 9, 49
"d:\Hexalith\Hexalith\src\Core\Application\Hexalith.Application.Abstractions\Envelopes\Envelope.cs", "C#", 0, 0, 0, 0, 14, 10, 5, 29
"d:\Hexalith\Hexalith\src\Core\Application\Hexalith.Application.Abstractions\Envelopes\EventEnvelope.cs", "C#", 0, 0, 0, 0, 20, 21, 7, 48
"d:\Hexalith\Hexalith\src\Core\Application\Hexalith.Application.Abstractions\Envelopes\IEnvelope.cs", "C#", 0, 0, 0, 0, 19, 29, 7, 55
"d:\Hexalith\Hexalith\src\Core\Application\Hexalith.Application.Abstractions\Envelopes\IMessageBus.cs", "C#", 0, 0, 0, 0, 10, 23, 6, 39
"d:\Hexalith\Hexalith\src\Core\Application\Hexalith.Application.Abstractions\Errors\ApplicationErrorException.cs", "C#", 0, 0, 0, 0, 33, 39, 10, 82
"d:\Hexalith\Hexalith\src\Core\Application\Hexalith.Application.Abstractions\Errors\ApplicationResult.cs", "C#", 0, 0, 0, 0, 23, 43, 9, 75
"d:\Hexalith\Hexalith\src\Core\Application\Hexalith.Application.Abstractions\Errors\Error.cs", "C#", 0, 0, 0, 0, 11, 32, 9, 52
"d:\Hexalith\Hexalith\src\Core\Application\Hexalith.Application.Abstractions\Events\EventDeserializationFailed.cs", "C#", 0, 0, 0, 0, 21, 19, 6, 46
"d:\Hexalith\Hexalith\src\Core\Application\Hexalith.Application.Abstractions\Events\EventDispatchFailed.cs", "C#", 0, 0, 0, 0, 28, 10, 6, 44
"d:\Hexalith\Hexalith\src\Core\Application\Hexalith.Application.Abstractions\Events\EventNotImplementedInDispatcher.cs", "C#", 0, 0, 0, 0, 14, 9, 5, 28
"d:\Hexalith\Hexalith\src\Core\Application\Hexalith.Application.Abstractions\Events\EventValidationFailed.cs", "C#", 0, 0, 0, 0, 21, 19, 6, 46
"d:\Hexalith\Hexalith\src\Core\Application\Hexalith.Application.Abstractions\Events\IEventEnvelope.cs", "C#", 0, 0, 0, 0, 14, 11, 5, 30
"d:\Hexalith\Hexalith\src\Core\Application\Hexalith.Application.Abstractions\Events\IIntegrationEventDispatcher.cs", "C#", 0, 0, 0, 0, 7, 14, 4, 25
"d:\Hexalith\Hexalith\src\Core\Application\Hexalith.Application.Abstractions\Events\IIntegrationEventHandler.cs", "C#", 0, 0, 0, 0, 14, 24, 6, 44
"d:\Hexalith\Hexalith\src\Core\Application\Hexalith.Application.Abstractions\Events\IIntegrationEventProcessor.cs", "C#", 0, 0, 0, 0, 7, 14, 5, 26
"d:\Hexalith\Hexalith\src\Core\Application\Hexalith.Application.Abstractions\Events\IntegrationEventHandler.cs", "C#", 0, 0, 0, 0, 20, 19, 7, 46
"d:\Hexalith\Hexalith\src\Core\Application\Hexalith.Application.Abstractions\Exceptions\DuplicateEntityFoundException.cs", "C#", 0, 0, 0, 0, 29, 38, 9, 76
"d:\Hexalith\Hexalith\src\Core\Application\Hexalith.Application.Abstractions\Exceptions\EntityNotFoundException.cs", "C#", 0, 0, 0, 0, 29, 38, 9, 76
"d:\Hexalith\Hexalith\src\Core\Application\Hexalith.Application.Abstractions\Helpers\LogErrorHelper.cs", "C#", 0, 0, 0, 0, 15, 13, 6, 34
"d:\Hexalith\Hexalith\src\Core\Application\Hexalith.Application.Abstractions\Hexalith.Application.Abstractions.csproj", "XML", 0, 17, 0, 0, 0, 0, 1, 18
"d:\Hexalith\Hexalith\src\Core\Application\Hexalith.Application.Abstractions\Metadatas\AggregateMetadata.cs", "C#", 0, 0, 0, 0, 20, 22, 7, 49
"d:\Hexalith\Hexalith\src\Core\Application\Hexalith.Application.Abstractions\Metadatas\ContextMetadata.cs", "C#", 0, 0, 0, 0, 31, 34, 12, 77
"d:\Hexalith\Hexalith\src\Core\Application\Hexalith.Application.Abstractions\Metadatas\IAggregateMetaData.cs", "C#", 0, 0, 0, 0, 6, 14, 3, 23
"d:\Hexalith\Hexalith\src\Core\Application\Hexalith.Application.Abstractions\Metadatas\IContextMetadata.cs", "C#", 0, 0, 0, 0, 9, 23, 7, 39
"d:\Hexalith\Hexalith\src\Core\Application\Hexalith.Application.Abstractions\Metadatas\IMessageMetadata.cs", "C#", 0, 0, 0, 0, 9, 23, 7, 39
"d:\Hexalith\Hexalith\src\Core\Application\Hexalith.Application.Abstractions\Metadatas\IMessageVersion.cs", "C#", 0, 0, 0, 0, 6, 14, 3, 23
"d:\Hexalith\Hexalith\src\Core\Application\Hexalith.Application.Abstractions\Metadatas\IMetadata.cs", "C#", 0, 0, 0, 0, 8, 20, 6, 34
"d:\Hexalith\Hexalith\src\Core\Application\Hexalith.Application.Abstractions\Metadatas\IMetadataVersion.cs", "C#", 0, 0, 0, 0, 6, 14, 3, 23
"d:\Hexalith\Hexalith\src\Core\Application\Hexalith.Application.Abstractions\Metadatas\MessageMetadata.cs", "C#", 0, 0, 0, 0, 40, 21, 12, 73
"d:\Hexalith\Hexalith\src\Core\Application\Hexalith.Application.Abstractions\Metadatas\MessageVersion.cs", "C#", 0, 0, 0, 0, 23, 24, 7, 54
"d:\Hexalith\Hexalith\src\Core\Application\Hexalith.Application.Abstractions\Metadatas\Metadata.cs", "C#", 0, 0, 0, 0, 65, 51, 16, 132
"d:\Hexalith\Hexalith\src\Core\Application\Hexalith.Application.Abstractions\Metadatas\MetadataVersion.cs", "C#", 0, 0, 0, 0, 23, 24, 7, 54
"d:\Hexalith\Hexalith\src\Core\Application\Hexalith.Application.Abstractions\README.md", "Markdown", 0, 0, 0, 3, 0, 0, 2, 5
"d:\Hexalith\Hexalith\src\Core\Application\Hexalith.Application.Abstractions\States\IStateStoreProvider.cs", "C#", 0, 0, 0, 0, 10, 35, 8, 53
"d:\Hexalith\Hexalith\src\Core\Application\Hexalith.Application.Abstractions\StreamStores\IDataFragment.cs", "C#", 0, 0, 0, 0, 11, 23, 5, 39
"d:\Hexalith\Hexalith\src\Core\Application\Hexalith.Application.Abstractions\StreamStores\IPersistedStream.cs", "C#", 0, 0, 0, 0, 8, 29, 5, 42
"d:\Hexalith\Hexalith\src\Core\Application\Hexalith.Application.Abstractions\StreamStores\IStreamItem.cs", "C#", 0, 0, 0, 0, 6, 14, 3, 23
"d:\Hexalith\Hexalith\src\Core\Application\Hexalith.Application.Abstractions\StreamStores\IStreamStore.cs", "C#", 0, 0, 0, 0, 5, 13, 2, 20
"d:\Hexalith\Hexalith\src\Core\Application\Hexalith.Application.Abstractions\Tasks\ITaskProcessor.cs", "C#", 0, 0, 0, 0, 14, 45, 11, 70
"d:\Hexalith\Hexalith\src\Core\Application\Hexalith.Application.Abstractions\Tasks\InvalidStatusChangeException.cs", "C#", 0, 0, 0, 0, 30, 37, 9, 76
"d:\Hexalith\Hexalith\src\Core\Application\Hexalith.Application.Abstractions\Tasks\ResiliencyPolicy.cs", "C#", 0, 0, 0, 0, 70, 62, 19, 151
"d:\Hexalith\Hexalith\src\Core\Application\Hexalith.Application.Abstractions\Tasks\RetryStatus.cs", "C#", 0, 0, 0, 0, 7, 17, 4, 28
"d:\Hexalith\Hexalith\src\Core\Application\Hexalith.Application.Abstractions\Tasks\TaskProcessingFailure.cs", "C#", 0, 0, 0, 0, 28, 31, 8, 67
"d:\Hexalith\Hexalith\src\Core\Application\Hexalith.Application.Abstractions\Tasks\TaskProcessingHistory.cs", "C#", 0, 0, 0, 0, 75, 50, 13, 138
"d:\Hexalith\Hexalith\src\Core\Application\Hexalith.Application.Abstractions\Tasks\TaskProcessor.cs", "C#", 0, 0, 0, 0, 146, 42, 23, 211
"d:\Hexalith\Hexalith\src\Core\Application\Hexalith.Application.Abstractions\Tasks\TaskProcessorStatus.cs", "C#", 0, 0, 0, 0, 9, 23, 6, 38
"d:\Hexalith\Hexalith\src\Core\Application\Hexalith.Application\Commands\DependencyInjectionCommandDispatcher.cs", "C#", 0, 0, 0, 0, 39, 29, 12, 80
"d:\Hexalith\Hexalith\src\Core\Application\Hexalith.Application\DataFragment.cs", "C#", 0, 0, 0, 0, 21, 23, 7, 51
"d:\Hexalith\Hexalith\src\Core\Application\Hexalith.Application\Events\DependencyInjectionEventDispatcher.cs", "C#", 0, 0, 0, 0, 37, 27, 11, 75
"d:\Hexalith\Hexalith\src\Core\Application\Hexalith.Application\Hexalith.Application.csproj", "XML", 0, 8, 0, 0, 0, 0, 1, 9
"d:\Hexalith\Hexalith\src\Core\Application\Hexalith.Application\README.md", "Markdown", 0, 0, 0, 1, 0, 0, 2, 3
"d:\Hexalith\Hexalith\src\Core\Application\Hexalith.Application\StreamStores\JsonStreamItem.cs", "C#", 0, 0, 0, 0, 71, 52, 15, 138
"d:\Hexalith\Hexalith\src\Core\Application\Hexalith.Application\StreamStores\MemoryPersistedStream.cs", "C#", 0, 0, 0, 0, 38, 12, 9, 59
"d:\Hexalith\Hexalith\src\Core\Application\Hexalith.Application\StreamStores\MemoryStreamStore.cs", "C#", 0, 0, 0, 0, 15, 13, 5, 33
"d:\Hexalith\Hexalith\src\Core\Application\Hexalith.Application\StreamStores\StreamItem.cs", "C#", 0, 0, 0, 0, 23, 21, 7, 51
"d:\Hexalith\Hexalith\src\Core\Application\Hexalith.Application\StreamStores\UnexpectedStreamVersionException.cs", "C#", 0, 0, 0, 0, 42, 43, 10, 95
"d:\Hexalith\Hexalith\src\Core\Application\Hexalith.Application\TaskManager\CommandTask.cs", "C#", 0, 0, 0, 0, 9, 18, 3, 30
"d:\Hexalith\Hexalith\src\Core\Application\README.md", "Markdown", 0, 0, 0, 3, 0, 0, 2, 5
"d:\Hexalith\Hexalith\src\Core\Common\Hexalith.Extensions\Common\ConditionalValue.cs", "C#", 0, 0, 0, 0, 17, 30, 7, 54
"d:\Hexalith\Hexalith\src\Core\Common\Hexalith.Extensions\Common\DateTimeService.cs", "C#", 0, 0, 0, 0, 7, 10, 4, 21
"d:\Hexalith\Hexalith\src\Core\Common\Hexalith.Extensions\Common\IDateTimeService.cs", "C#", 0, 0, 0, 0, 7, 14, 4, 25
"d:\Hexalith\Hexalith\src\Core\Common\Hexalith.Extensions\Configuration\ISettings.cs", "C#", 0, 0, 0, 0, 5, 12, 2, 19
"d:\Hexalith\Hexalith\src\Core\Common\Hexalith.Extensions\Configuration\OptionsHelper.cs", "C#", 0, 0, 0, 0, 12, 15, 3, 30
"d:\Hexalith\Hexalith\src\Core\Common\Hexalith.Extensions\Configuration\README..md", "Markdown", 0, 0, 0, 45, 0, 0, 15, 60
